geneID,DFB,DFB,Fe,Fe
Ga0401699_0022896_1926_2264,138,178,25,24
Ga0401699_0022913_1140_2732,8,4,156,155
Ga0401699_0022981_130_5103,14,7,0,0
Ga0401699_0023050_7_5301,28,13,0,0
Ga0401699_0023131_1690_2679,119,112,4,4
Ga0401699_0023131_208_768,5,12,0,0
Ga0401699_0023131_2701_4731,292,316,5,9
Ga0401699_0023144_1937_2653,28,15,12,15
Ga0401699_0023287_86_310,108,210,21,18
Ga0401699_0023400_100_5271,48,19,0,0
Ga0401699_0023552_154_1638,30,25,0,0
Ga0401699_0023552_1769_3307,301,141,2,0
Ga0401699_0023552_3337_4146,116,69,1,0
Ga0401699_0023552_4162_4920,69,57,1,0
Ga0401699_0023617_86_5152,21,22,1,1
Ga0401699_0023710_635_5239,21,17,0,2
Ga0401699_0023763_262_5232,18,6,0,1
Ga0401699_0023785_2564_5230,4,17,0,0
Ga0401699_0024068_1058_1867,82,64,0,2
Ga0401699_0024068_1897_3435,232,190,9,0
Ga0401699_0024068_285_1043,86,75,1,0
Ga0401699_0024068_3568_5052,127,111,12,11
Ga0401699_0024127_2614_4680,7,66,3,2
Ga0401699_0024172_486_5084,46,21,2,1
Ga0401699_0024278_194_2452,851,680,332,271
Ga0401699_0024278_2479_4683,819,736,436,255
Ga0401699_0024458_126_5168,67,27,0,0
Ga0401699_0024594_2464_5121,15,6,81,75
Ga0401699_0024594_342_2549,17,7,56,55
Ga0401699_0024652_3_4562,12,14,0,0
Ga0401699_0024668_190_5148,30,8,0,0
Ga0401699_0024729_147_5135,34,27,2,1
Ga0401699_0024834_2_5134,22,9,0,0
Ga0401699_0024844_133_3558,69,52,58,68
Ga0401699_0025033_60_5117,96,36,0,1
Ga0401699_0025355_236_4807,11,19,2,1
Ga0401699_0025495_32_5077,33,19,0,0
Ga0401699_0025566_151_4857,181,131,16,14
Ga0401699_0025582_2308_3777,183,170,586,401
Ga0401699_0025958_83_4864,7,14,2,6
Ga0401699_0026105_2245_5025,21,17,2,3
Ga0401699_0026242_3_4880,7,20,4,0
Ga0401699_0026311_79_5004,57,32,0,0
Ga0401699_0026549_3_4898,29,29,0,0
Ga0401699_0026600_3_4922,628,210,5,4
Ga0401699_0026610_1_4986,49,11,4,1
Ga0401699_0026706_3_4877,36,15,5,8
Ga0401699_0026787_34_2289,237,116,45,35
Ga0401699_0026946_14_4732,128,37,0,0
Ga0401699_0026957_3699_4958,552,281,114,52
Ga0401699_0027090_404_4828,41,28,7,2
Ga0401699_0027211_266_4801,8,18,3,0
Ga0401699_0027291_28_4884,22,14,4,0
Ga0401699_0027428_11_4924,50,26,2,5
Ga0401699_0027630_1_2430,30,8,0,0
Ga0401699_0027707_4_4902,330,281,40,39
Ga0401699_0027731_85_4899,324,263,27,14
Ga0401699_0027851_1253_4450,7,11,47,49
Ga0401699_0027969_2454_3686,8,7,114,76
Ga0401699_0027969_3724_4203,5,4,72,66
Ga0401699_0028219_1_3456,46,29,6,0
Ga0401699_0028383_3_4823,40,23,0,0
Ga0401699_0028605_1212_2648,12,11,114,150
Ga0401699_0028605_3036_3461,22,11,212,204
Ga0401699_0028605_3496_4188,21,15,303,291
Ga0401699_0028605_4246_4629,14,8,163,159
Ga0401699_0028620_312_4784,144,132,62,51
Ga0401699_0028740_337_4794,63,41,3,2
Ga0401699_0029081_185_4657,62,38,8,2
Ga0401699_0029450_22_4599,132,154,20,38
Ga0401699_0029648_1570_3228,601,330,20,14
Ga0401699_0029654_134_4591,12,20,1,1
Ga0401699_0029760_290_4696,165,115,76,58
Ga0401699_0029774_11_4744,7,6,0,0
Ga0401699_0029790_384_4745,158,46,0,0
Ga0401699_0029907_126_4721,78,17,3,1
Ga0401699_0029986_80_4693,43,21,0,0
Ga0401699_0030066_123_2381,675,503,666,469
Ga0401699_0030066_2418_4622,559,433,593,428
Ga0401699_0030330_1_4620,8,13,0,4
Ga0401699_0030521_78_2585,14,6,0,0
Ga0401699_0030574_439_4005,32,20,0,0
Ga0401699_0030590_38_4600,84,66,7,8
Ga0401699_0030644_445_1470,55,38,6,8
Ga0401699_0030661_39_4508,270,139,2,5
Ga0401699_0030723_1_4686,32,31,0,3
Ga0401699_0030736_63_4685,68,42,8,2
Ga0401699_0030853_2_2440,24,10,0,0
Ga0401699_0031021_144_1664,896,633,1310,1122
Ga0401699_0031021_2875_3123,288,425,574,464
Ga0401699_0031021_3287_4036,237,208,459,356
Ga0401699_0031119_1670_2215,28,22,184,75
Ga0401699_0031175_3_4286,15,12,0,0
Ga0401699_0031224_407_4654,27,25,8,0
Ga0401699_0031231_86_814,230,173,810,915
Ga0401699_0031231_880_1128,47,25,106,102
Ga0401699_0031448_24_4577,35,9,0,0
Ga0401699_0031682_4_4623,0,0,0,0
Ga0401699_0031737_2_4621,52,16,0,0
Ga0401699_0031819_130_4464,25,12,0,0
Ga0401699_0032153_988_1641,35,63,15,6
Ga0401699_0032296_1770_2963,14,76,8,2
Ga0401699_0032296_3071_3430,6,26,0,1
Ga0401699_0032296_696_1502,8,21,2,0
Ga0401699_0032374_15_4583,23,8,0,0
Ga0401699_0032606_3_4427,11,10,0,0
Ga0401699_0032682_295_4566,64,38,4,5
Ga0401699_0032957_73_4551,27,15,0,0
Ga0401699_0033501_408_2198,3828,1631,26,30
Ga0401699_0033893_1_4500,0,0,0,0
Ga0401699_0033981_1179_2669,551,522,4,6
Ga0401699_0033981_2857_4353,123,128,4,0
Ga0401699_0033981_75_860,243,229,4,1
Ga0401699_0034640_1722_4427,51,44,8,3
Ga0401699_0035227_3_4199,8,6,1,1
Ga0401699_0035404_1_4350,12,11,0,0
Ga0401699_0035809_933_4388,88,41,4,0
Ga0401699_0035973_1554_2984,166,65,48,32
Ga0401699_0036288_1_4347,8,5,0,0
Ga0401699_0036336_1_4362,65,52,9,5
Ga0401699_0036415_2_3973,11,6,0,0
Ga0401699_0036526_2190_3686,164,141,18,16
Ga0401699_0036526_573_1811,178,138,7,20
Ga0401699_0036539_3_4301,313,117,42,45
Ga0401699_0036769_188_2842,191,100,8,2
Ga0401699_0037272_69_4313,20,8,0,0
Ga0401699_0037772_131_3232,39,21,1,0
Ga0401699_0037906_115_3825,4,5,0,0
Ga0401699_0037921_75_4283,4,7,0,0
Ga0401699_0037964_795_2864,43,17,0,0
Ga0401699_0038074_173_697,51,35,7,1
Ga0401699_0038116_170_3919,147,92,646,800
Ga0401699_0038271_28_3177,27,13,0,0
Ga0401699_0038337_3_3731,4,3,0,0
Ga0401699_0038471_1_4254,424,78,3,1
Ga0401699_0038712_26_4243,26,19,2,6
Ga0401699_0038717_3_4232,36,12,0,0
Ga0401699_0038718_69_4244,25,18,3,2
Ga0401699_0038885_218_775,69,97,346,348
Ga0401699_0038885_3567_4025,43,84,214,235
Ga0401699_0039237_11_4219,18,13,0,0
Ga0401699_0039345_22_4215,12,16,0,0
Ga0401699_0039407_1_4176,74,30,0,0
Ga0401699_0039448_621_2825,227,126,1322,693
Ga0401699_0039724_338_4099,11,11,0,0
Ga0401699_0039796_3_4193,60,173,0,0
Ga0401699_0039816_3521_3970,615,376,70,64
Ga0401699_0040310_111_3614,25,9,4,3
Ga0401699_0040367_576_4169,249,223,29,36
Ga0401699_0040529_30_4160,14,8,0,0
Ga0401699_0040534_31_4161,233,49,0,0
Ga0401699_0040904_71_4027,40,18,0,0
Ga0401699_0041092_446_4138,7,11,0,0
Ga0401699_0041344_2_4090,71,24,0,5
Ga0401699_0041367_84_2567,6,8,0,0
Ga0401699_0041525_136_4098,11,15,0,1
Ga0401699_0041566_969_1868,18,67,0,0
Ga0401699_0041628_412_4113,13,8,0,0
Ga0401699_0041791_25_3918,54,33,2,0
Ga0401699_0041844_1037_4105,47,29,8,10
Ga0401699_0042189_355_4092,34,21,1,2
Ga0401699_0042274_57_4088,29,10,0,0
Ga0401699_0042363_3308_3946,8,14,211,160
Ga0401699_0042458_236_4009,29,19,0,0
Ga0401699_0042667_2773_3714,38,26,113,111
Ga0401699_0042686_245_3445,126,37,0,0
Ga0401699_0042914_27_833,56,34,0,1
Ga0401699_0042926_228_4061,40,17,7,2
Ga0401699_0043012_1145_1828,11,4,55,77
Ga0401699_0043012_2397_3107,18,6,111,145
Ga0401699_0043012_3143_3547,12,0,83,112
Ga0401699_0043303_165_4046,25,23,2,2
Ga0401699_0043457_32_4039,37,24,0,0
Ga0401699_0043563_59_4036,35,18,0,0
Ga0401699_0043813_1651_2277,543,229,3,1
Ga0401699_0043905_2_4021,118,27,0,0
Ga0401699_0044023_182_2341,7,2,0,0
Ga0401699_0044122_88_3978,68,28,1,0
Ga0401699_0044218_2318_3595,17,22,190,179
Ga0401699_0044218_808_2298,32,28,229,248
Ga0401699_0044294_502_3924,34,11,0,0
Ga0401699_0044428_212_3721,2516,942,37,17
Ga0401699_0044585_171_3857,68,49,3,8
Ga0401699_0045030_2533_3972,69,18,0,0
Ga0401699_0045030_452_1441,29,21,1,1
Ga0401699_0045259_242_3469,2007,731,11,6
Ga0401699_0045367_33_3797,56,47,3,5
Ga0401699_0045371_2_1423,50,44,140,76
Ga0401699_0045883_84_3824,115,60,2,4
Ga0401699_0046007_1061_3661,4,15,0,0
Ga0401699_0046111_2_3610,12,28,0,0
Ga0401699_0046167_1_3555,41,22,5,0
Ga0401699_0046173_181_3924,54,35,3,1
Ga0401699_0046253_52_3798,7,28,0,0
Ga0401699_0046335_1034_3808,5,6,0,0
Ga0401699_0046394_97_543,31,16,84,97
Ga0401699_0046435_2_3925,52,27,10,1
Ga0401699_0046547_105_3902,35,13,0,0
Ga0401699_0046638_121_3840,102,69,0,4
Ga0401699_0046794_5_3913,77,48,5,0
Ga0401699_0046867_3516_3737,39,54,85,52
Ga0401699_0046885_1867_3027,178,213,7,14
Ga0401699_0046885_3075_3677,55,66,4,4
Ga0401699_0046885_73_828,186,218,6,14
Ga0401699_0046885_877_1689,211,293,24,14
Ga0401699_0046903_99_3854,14,11,0,0
Ga0401699_0046936_1_3819,14,3,0,0
Ga0401699_0047082_214_3843,107,95,23,9
Ga0401699_0047213_2162_2923,43,24,0,1
Ga0401699_0047304_1948_3894,43,47,534,563
Ga0401699_0047466_1339_3828,81,57,13,4
Ga0401699_0047613_48_3665,4,9,2,0
Ga0401699_0047649_2467_2721,411,463,1775,1283
Ga0401699_0047780_79_1239,309,195,5,6
Ga0401699_0047785_180_3128,1279,773,196,251
Ga0401699_0048172_129_3827,114,65,1,1
Ga0401699_0048224_81_3860,16,5,0,0
Ga0401699_0048490_38_3850,123,52,2,1
Ga0401699_0048531_7_3684,40,24,0,0
Ga0401699_0049108_115_3738,6,5,0,0
Ga0401699_0049166_263_3730,30,24,0,3
Ga0401699_0049307_162_3794,7,5,0,0
Ga0401699_0049702_3_3809,80,35,2,2
Ga0401699_0049910_3_3656,10,8,9,7
Ga0401699_0050497_59_3559,22,32,2,1
Ga0401699_0050694_350_3757,44,19,0,0
Ga0401699_0050878_29_2473,71,71,0,2
Ga0401699_0050900_1145_3634,23,23,0,0
Ga0401699_0050930_1687_2478,65,62,2,1
Ga0401699_0050930_2811_3770,87,37,2,6
Ga0401699_0051295_117_3638,1031,319,18,4
Ga0401699_0051566_1_3525,6,8,0,0
Ga0401699_0051573_116_1555,242,110,485,563
Ga0401699_0051580_78_3632,10,26,1,0
Ga0401699_0051715_185_3673,45,29,62,83
Ga0401699_0051984_480_3551,26,38,0,0
Ga0401699_0052156_2_3502,9,10,0,0
Ga0401699_0052238_2482_3729,73,77,128,122
Ga0401699_0052339_108_3713,65,38,2,1
Ga0401699_0052834_14_3712,25,9,0,0
Ga0401699_0053122_26_3703,40,30,0,1
Ga0401699_0053173_175_3657,169,94,4,24
Ga0401699_0053336_1449_3290,46,50,5,5
Ga0401699_0053336_805_1338,50,66,4,4
Ga0401699_0054185_25_3579,234,173,25,47
Ga0401699_0054306_76_3405,18,15,36,40
Ga0401699_0054431_19_3579,183,122,8,25
Ga0401699_0054480_36_3395,297,165,4,0
Ga0401699_0054503_104_3616,26,20,0,0
Ga0401699_0054518_31_3663,71,32,1,4
Ga0401699_0054927_1067_2026,99,67,2,1
Ga0401699_0054927_2023_2784,56,89,1,0
Ga0401699_0054927_514_1023,375,438,0,3
Ga0401699_0055211_1866_3575,8,13,0,3
Ga0401699_0055211_209_1774,11,11,0,0
Ga0401699_0055847_54_3452,34,13,0,0
Ga0401699_0055878_1178_3403,44,19,0,0
Ga0401699_0056072_2_3583,22,6,0,0
Ga0401699_0056490_101_3457,10,5,1,1
Ga0401699_0056838_96_3383,151,105,193,202
Ga0401699_0056858_144_3527,40,39,0,4
Ga0401699_0057123_86_3295,125,131,6,16
Ga0401699_0057272_457_3549,230,84,1,1
Ga0401699_0057377_3376_3585,407,405,1181,1056
Ga0401699_0057484_56_3199,20,23,4,5
Ga0401699_0058105_43_3006,69,34,6,7
Ga0401699_0058208_3_3563,19,4,0,0
Ga0401699_0058217_808_2253,4,8,0,0
Ga0401699_0058347_167_3532,178,142,24,49
Ga0401699_0058418_2301_3557,17,9,0,0
Ga0401699_0058543_2478_3503,27,29,165,147
Ga0401699_0058595_1_3516,15,7,0,0
Ga0401699_0058655_1_3099,15,21,0,2
Ga0401699_0058987_163_3504,123,39,2,1
Ga0401699_0059215_3_3404,11,11,3,1
Ga0401699_0059528_576_3422,4,5,0,0
Ga0401699_0059763_2614_3441,34,19,255,265
Ga0401699_0059872_25_3519,55,36,3,0
Ga0401699_0060227_1331_3439,12,4,0,0
Ga0401699_0060237_247_3483,166,97,7,28
Ga0401699_0060286_212_3511,39,10,0,0
Ga0401699_0060298_1432_3510,9,15,0,0
Ga0401699_0060312_119_3337,9,21,0,3
Ga0401699_0060527_1034_2908,125,133,410,338
Ga0401699_0060571_147_2411,168,82,16,11
Ga0401699_0060753_418_858,116,64,36,35
Ga0401699_0060790_331_3000,23,56,3,0
Ga0401699_0060867_73_1569,140,129,7,10
Ga0401699_0060874_242_3448,53,22,3,3
Ga0401699_0060990_2214_3494,26,14,0,0
Ga0401699_0061032_2893_3162,53,166,186,165
Ga0401699_0061601_57_3284,77,20,3,1
Ga0401699_0061803_270_3410,117,33,2,0
Ga0401699_0061811_107_3454,17,16,1,3
Ga0401699_0062471_260_3319,15,23,0,0
Ga0401699_0062752_221_3451,751,383,13,24
Ga0401699_0062763_186_3335,32,16,0,0
Ga0401699_0062942_21_3392,42,10,3,4
Ga0401699_0062957_1209_3218,13,37,2,6
Ga0401699_0063283_1_3429,171,100,11,17
Ga0401699_0063331_149_3400,121,125,10,13
Ga0401699_0063600_3_3434,6,17,0,0
Ga0401699_0063784_63_1337,18,24,2,1
Ga0401699_0063868_576_3218,9,2,0,0
Ga0401699_0063923_133_3222,623,209,2,1
Ga0401699_0063938_166_3273,16,16,4,2
Ga0401699_0064185_143_3403,153,112,8,21
Ga0401699_0064431_8_3193,51,18,0,0
Ga0401699_0064504_69_3203,29,10,0,0
Ga0401699_0064510_74_3397,80,21,3,3
Ga0401699_0064542_1_3312,6,6,0,0
Ga0401699_0064657_137_3385,263,189,46,52
Ga0401699_0064670_99_3218,30,38,1,2
Ga0401699_0064729_65_3175,32,25,0,0
Ga0401699_0064978_3_1394,611,463,43,44
Ga0401699_0065800_2197_3384,85,72,260,286
Ga0401699_0066353_13_3120,170,57,1,1
Ga0401699_0066409_1_3369,11,6,0,0
Ga0401699_0066474_54_3137,136,59,24,14
Ga0401699_0066544_35_3193,167,90,7,21
Ga0401699_0066595_188_3364,33,25,9,3
Ga0401699_0066697_313_1500,30,44,3,5
Ga0401699_0066738_32_3118,38,41,9,0
Ga0401699_0066805_10_3360,208,35,1,1
Ga0401699_0066894_25_3195,117,96,20,29
Ga0401699_0067634_1124_2962,117,107,2,5
Ga0401699_0067773_18_3173,205,122,32,39
Ga0401699_0067933_1456_1875,15,20,129,148
Ga0401699_0067933_2473_3336,218,273,564,568
Ga0401699_0067988_478_3294,889,934,200,255
Ga0401699_0068667_147_3260,207,163,34,42
Ga0401699_0068748_363_3173,182,143,30,8
Ga0401699_0068816_5_3316,17,10,0,0
Ga0401699_0068974_106_2916,28,22,4,4
Ga0401699_0068985_49_2601,84,63,203,119
Ga0401699_0069004_187_3213,150,105,21,9
Ga0401699_0069179_63_3170,38,19,4,2
Ga0401699_0069367_1_3285,76,41,0,1
Ga0401699_0069392_108_3293,86,21,0,0
Ga0401699_0069504_292_3129,112,78,6,3
Ga0401699_0069568_3_1991,6,15,42,69
Ga0401699_0069616_24_3302,8,11,0,0
Ga0401699_0069861_49_3084,75,26,0,0
Ga0401699_0070045_51_3167,115,55,4,16
Ga0401699_0070180_1_2715,37,69,0,0
Ga0401699_0070232_1504_2409,406,420,17,7
Ga0401699_0070232_3_1502,467,673,21,8
Ga0401699_0070412_15_3287,0,0,0,0
Ga0401699_0070653_2_3112,12,9,0,0
Ga0401699_0071366_218_3136,15,16,0,5
Ga0401699_0071603_3_2387,47,23,0,0
Ga0401699_0071612_169_3171,12,7,0,0
Ga0401699_0071662_57_3260,13,9,0,0
Ga0401699_0071794_40_3093,61,50,12,0
Ga0401699_0071856_20_1297,647,663,27,13
Ga0401699_0071856_2505_3257,48,40,0,4
Ga0401699_0072020_1_3117,121,70,25,15
Ga0401699_0072800_33_3239,70,31,0,3
Ga0401699_0073024_708_3206,0,0,0,0
Ga0401699_0073697_68_3202,111,50,5,14
Ga0401699_0073852_93_3119,31,14,0,1
Ga0401699_0074181_3_3128,52,51,0,0
Ga0401699_0074699_1396_3147,12,20,2,3
Ga0401699_0074874_3_953,319,167,10,6
Ga0401699_0074981_1546_1953,6,10,123,160
Ga0401699_0074981_19_957,25,33,347,339
Ga0401699_0074981_1978_2196,14,2,63,111
Ga0401699_0074981_2224_2598,18,11,139,148
Ga0401699_0074981_2648_3118,9,9,160,189
Ga0401699_0074981_995_1450,31,15,251,274
Ga0401699_0074999_2034_2405,10,16,181,176
Ga0401699_0074999_2443_2835,16,12,122,99
Ga0401699_0074999_55_570,2,14,100,108
Ga0401699_0074999_602_1870,24,40,392,409
Ga0401699_0075071_1461_1655,3,1,55,61
Ga0401699_0075071_1659_1877,6,1,89,67
Ga0401699_0075205_247_3102,6,1,0,0
Ga0401699_0075256_336_3149,17,16,4,1
Ga0401699_0075335_220_3192,66,28,9,2
Ga0401699_0075342_1_2943,17,10,0,0
Ga0401699_0075824_18_3122,70,32,4,0
Ga0401699_0076407_102_554,49,58,105,95
Ga0401699_0076407_664_1533,18,13,50,49
Ga0401699_0076427_100_3171,42,10,0,0
Ga0401699_0076680_64_2739,67,42,3,0
Ga0401699_0076957_21_3077,90,38,6,1
Ga0401699_0077152_129_2882,258,117,11,9
Ga0401699_0077235_121_3000,28,22,2,2
Ga0401699_0077259_1217_1609,156,114,62,55
Ga0401699_0077259_632_1015,152,116,53,58
Ga0401699_0077739_1873_2430,112,80,67,75
Ga0401699_0077901_1394_3145,89,48,3,0
Ga0401699_0078168_137_3061,11,9,0,0
Ga0401699_0078563_1721_2161,47,44,1,5
Ga0401699_0078563_2658_3023,44,46,0,2
Ga0401699_0078563_504_1268,497,721,70,68
Ga0401699_0078785_32_3130,46,34,3,6
Ga0401699_0078951_1493_1795,3,6,71,76
Ga0401699_0078951_2461_3123,48,19,372,317
Ga0401699_0078994_30_3023,119,40,0,0
Ga0401699_0078998_20_2959,46,21,2,0
Ga0401699_0079445_92_3019,12,9,4,3
Ga0401699_0079598_51_3068,81,35,0,0
Ga0401699_0079635_3_3047,39,9,0,0
Ga0401699_0080056_124_3018,203,193,40,63
Ga0401699_0080079_127_3045,7,3,0,0
Ga0401699_0080366_234_2981,21,7,0,1
Ga0401699_0080376_244_3060,64,25,16,8
Ga0401699_0081211_205_3024,11,5,0,0
Ga0401699_0081507_19_2985,21,15,1,2
Ga0401699_0081595_28_2952,77,27,0,0
Ga0401699_0081933_3_920,16,13,281,284
Ga0401699_0082626_11_3013,15,2,0,0
Ga0401699_0082949_56_2608,86,37,30,26
Ga0401699_0083143_1_372,142,167,228,131
Ga0401699_0083356_545_1924,451,301,1091,1370
Ga0401699_0083566_139_2814,9,5,3,0
Ga0401699_0083730_2_1300,220,136,24,23
Ga0401699_0083880_190_2991,70,39,0,1
Ga0401699_0084121_157_3036,135,92,3,19
Ga0401699_0084344_1393_1566,5,7,75,56
Ga0401699_0084344_1773_2795,103,45,271,337
Ga0401699_0084392_1037_2713,339,351,161,105
Ga0401699_0084522_30_2864,125,62,10,10
Ga0401699_0084653_1_3039,12,5,0,0
Ga0401699_0085015_32_3034,24,31,3,0
Ga0401699_0085393_40_2973,41,7,0,0
Ga0401699_0085449_75_2807,6,9,0,0
Ga0401699_0085860_94_2949,20,7,4,7
Ga0401699_0086453_2319_3011,89,101,24,9
Ga0401699_0087019_61_2778,813,256,1,0
Ga0401699_0087477_58_2988,105,48,4,3
Ga0401699_0087751_17_1516,109,79,18,12
Ga0401699_0087933_19_2847,37,23,0,0
Ga0401699_0088484_79_1878,18,32,6,0
Ga0401699_0088503_6_2708,55,56,14,13
Ga0401699_0088976_3_2942,37,7,0,0
Ga0401699_0089083_40_1599,85,37,3,5
Ga0401699_0089089_263_2854,82,57,139,172
Ga0401699_0089359_109_2805,136,85,3,0
Ga0401699_0089700_1_1893,427,194,892,1146
Ga0401699_0089700_2023_2964,338,289,1031,1136
Ga0401699_0089703_3_2666,60,102,11,8
Ga0401699_0089779_2144_2635,3,12,134,109
Ga0401699_0089779_561_860,13,16,228,218
Ga0401699_0089810_88_2769,9,31,2,0
Ga0401699_0089973_123_2588,65,36,0,0
Ga0401699_0089998_33_2657,26,6,0,0
Ga0401699_0090044_149_2950,53,24,0,0
Ga0401699_0090069_60_2960,122,68,10,12
Ga0401699_0090397_148_2022,4,6,0,0
Ga0401699_0090439_6_2807,51,7,0,0
Ga0401699_0090474_1457_2713,196,80,0,2
Ga0401699_0090736_16_2883,21,20,0,0
Ga0401699_0090957_33_2825,43,15,0,0
Ga0401699_0091124_40_2859,9,1,0,0
Ga0401699_0091261_75_2729,45,23,4,6
Ga0401699_0091275_5_514,142,133,0,0
Ga0401699_0091363_125_2707,57,33,12,7
Ga0401699_0091754_386_2773,7,4,0,0
Ga0401699_0091969_1_2805,19,13,1,1
Ga0401699_0092828_101_2908,38,16,3,0
Ga0401699_0093664_266_2725,41,45,9,2
Ga0401699_0093995_1_2907,17,8,0,0
Ga0401699_0094010_138_1859,86,21,3,0
Ga0401699_0094253_396_1568,158,93,0,0
Ga0401699_0094671_1_2898,54,40,1,0
Ga0401699_0094919_16_2841,0,0,0,1001
Ga0401699_0094940_32_385,16,15,0,0
Ga0401699_0095011_2414_2893,115,26,1,0
Ga0401699_0095238_79_2694,86,94,15,10
Ga0401699_0095349_3_2888,84,15,0,0
Ga0401699_0095565_2_1600,161,64,6,0
Ga0401699_0095865_242_2857,22,25,0,1
Ga0401699_0095895_1_2880,12,10,0,0
Ga0401699_0096039_31_2700,89,34,0,1
Ga0401699_0096094_46_2868,0,287,3,34
Ga0401699_0096216_209_2833,137,51,0,2
Ga0401699_0096553_1_2829,14,9,0,0
Ga0401699_0096634_3_2864,34,9,0,0
Ga0401699_0097194_78_2723,5,6,0,0
Ga0401699_0097284_81_2846,799,449,49,79
Ga0401699_0097487_119_2854,34,12,0,0
Ga0401699_0098102_1_2853,10,8,0,0
Ga0401699_0098773_1335_2549,86,97,1,0
Ga0401699_0098983_57_2807,27,9,0,0
Ga0401699_0099196_29_2770,3,12,0,0
Ga0401699_0099498_1244_2779,598,368,2,4
Ga0401699_0099635_2406_2771,12,13,1,1
Ga0401699_0099707_428_2248,13,8,0,1
Ga0401699_0099755_903_1091,23,16,0,0
Ga0401699_0099933_124_1344,225,216,102,100
Ga0401699_0100279_11_2743,39,15,0,0
Ga0401699_0100381_79_2823,53,25,0,0
Ga0401699_0100480_159_2810,18,8,0,0
Ga0401699_0100507_1_1206,9,20,18,4
Ga0401699_0100679_436_909,30,19,47,55
Ga0401699_0100937_93_2453,27,27,0,0
Ga0401699_0101317_47_2644,69,54,9,11
Ga0401699_0101320_291_2753,0,0,1,0
Ga0401699_0101621_3_2252,83,15,13,8
Ga0401699_0101688_33_2807,32,21,0,0
Ga0401699_0102296_31_2445,31,11,5,10
Ga0401699_0102648_2550_2747,88,118,211,110
Ga0401699_0102663_43_1572,122,127,53,22
Ga0401699_0102837_95_2716,29,15,0,0
Ga0401699_0103107_11_2698,29,4,0,0
Ga0401699_0103146_1102_2466,186,189,32,28
Ga0401699_0103357_1174_2664,537,247,10,15
Ga0401699_0103454_22_2772,52,18,4,1
Ga0401699_0103464_166_1032,83,22,0,0
Ga0401699_0103516_40_2694,260,121,1,2
Ga0401699_0103948_2484_2783,705,935,2366,2299
Ga0401699_0104731_87_2621,39,42,13,1
Ga0401699_0104759_301_2709,167,105,18,26
Ga0401699_0104879_259_2712,24,16,0,0
Ga0401699_0105146_2_2656,71,25,0,0
Ga0401699_0105225_350_2743,21,31,3,2
Ga0401699_0105375_3_2597,3,7,1,1
Ga0401699_0105425_69_2675,73,32,1,4
Ga0401699_0105727_3_2762,59,91,3,0
Ga0401699_0106097_1001_2749,629,183,0,0
Ga0401699_0106259_324_2258,170,76,0,0
Ga0401699_0106492_108_2486,187,186,47,23
Ga0401699_0107097_1215_2699,141,87,0,1
Ga0401699_0107527_184_2481,175,105,236,477
Ga0401699_0107643_166_2739,5,4,0,0
Ga0401699_0107780_143_2731,79,39,7,2
Ga0401699_0108197_560_2377,26,37,3,4
Ga0401699_0108231_398_2656,447,441,1332,985
Ga0401699_0108683_169_1710,166,91,18,22
Ga0401699_0108817_1404_2573,12,62,2,2
Ga0401699_0109884_68_2716,16,10,0,0
Ga0401699_0109899_34_2718,60,26,1,3
Ga0401699_0109953_53_2308,54,42,5,5
Ga0401699_0110161_51_2642,13,11,0,2
Ga0401699_0110163_817_2682,6,10,67,64
Ga0401699_0110529_73_2622,277,211,33,14
Ga0401699_0110711_24_2615,59,54,58,13
Ga0401699_0110778_140_2524,70,24,3,0
Ga0401699_0110803_43_2190,51,47,4,15
Ga0401699_0111225_763_2574,67,101,5,7
Ga0401699_0112162_20_2677,78,48,1,0
Ga0401699_0112796_296_2626,32,23,1,0
Ga0401699_0112946_77_2599,65,27,0,0
Ga0401699_0114247_132_2672,40,26,0,0
Ga0401699_0114997_13_2664,10,11,0,0
Ga0401699_0115067_211_2490,55,28,4,2
Ga0401699_0115389_81_2660,11,5,0,0
Ga0401699_0115442_15_2660,18,26,3,0
Ga0401699_0115637_70_2538,9,19,68,101
Ga0401699_0117153_16_2502,96,48,7,5
Ga0401699_0117416_67_2391,28,8,0,0
Ga0401699_0118158_193_1131,36,28,10,11
Ga0401699_0118513_39_2420,1,5,86,196
Ga0401699_0118698_27_2522,24,19,7,9
Ga0401699_0118736_224_2395,10,13,3,0
Ga0401699_0119059_367_2565,20,15,0,0
Ga0401699_0119342_82_1638,40,24,76,108
Ga0401699_0119477_56_2416,46,35,3,1
Ga0401699_0119579_422_2620,14,10,4,1
Ga0401699_0119788_700_2124,124,72,35,29
Ga0401699_0120448_899_2422,29,23,9,2
Ga0401699_0120607_172_2541,10,7,0,0
Ga0401699_0121410_521_2533,54,80,11,8
Ga0401699_0121445_41_2602,9,4,0,0
Ga0401699_0121703_7_2601,57,43,10,8
Ga0401699_0122130_2077_2598,335,360,38,67
Ga0401699_0122360_1371_2210,280,113,79,56
Ga0401699_0122740_68_2440,11,9,0,0
Ga0401699_0123629_1413_2225,57,42,4,6
Ga0401699_0123629_592_1347,35,39,10,5
Ga0401699_0123683_347_2482,14,9,0,0
Ga0401699_0123790_2_2446,6,2,0,0
Ga0401699_0124784_7_1404,407,575,1358,1085
Ga0401699_0124974_116_2410,43,21,2,1
Ga0401699_0126128_52_2559,113,144,47,42
