geneID,DFB,DFB,Fe,Fe
Ga0401699_0001856_2_14326,146,149,26,38
Ga0401699_0001879_86_14242,127,82,0,5
Ga0401699_0001919_2_14188,276,133,26,10
Ga0401699_0001932_224_13912,63,49,22,1
Ga0401699_0001958_1_14130,1213,900,146,91
Ga0401699_0001985_160_14010,119,56,7,11
Ga0401699_0001993_402_13979,58,52,4,5
Ga0401699_0002012_265_13998,167,119,17,7
Ga0401699_0002023_200_13975,135,96,16,6
Ga0401699_0002028_182_13939,209,173,49,29
Ga0401699_0002045_2251_2370,130,243,38,31
Ga0401699_0002045_2431_2532,218,264,63,31
Ga0401699_0002045_4724_5149,252,376,73,45
Ga0401699_0002045_8932_9495,43,52,13,18
Ga0401699_0002056_56_12655,78,36,0,0
Ga0401699_0002057_212_13855,145,97,34,29
Ga0401699_0002077_91_13761,198,139,36,29
Ga0401699_0002102_29_13873,282,94,0,2
Ga0401699_0002103_89_13921,117,48,0,0
Ga0401699_0002104_179_13921,106,92,24,14
Ga0401699_0002111_36_13646,64,75,210,247
Ga0401699_0002148_85_13608,74,71,6,1
Ga0401699_0002203_3_13733,37,16,0,0
Ga0401699_0002213_219_13742,86,42,5,4
Ga0401699_0002224_267_13352,53,47,3,3
Ga0401699_0002258_148_13479,30,31,3,6
Ga0401699_0002281_221_13630,98,37,1,7
Ga0401699_0002299_77_13489,133,77,9,11
Ga0401699_0002334_4566_6593,31,31,293,173
Ga0401699_0002371_44_13348,957,811,153,203
Ga0401699_0002448_186_13346,107,46,4,4
Ga0401699_0002467_6612_7886,14,10,111,53
Ga0401699_0002564_50_12946,55,29,1,2
Ga0401699_0002572_180_13052,60,40,9,2
Ga0401699_0002577_2_12994,36,33,1,2
Ga0401699_0002598_276_5234,33,26,5,4
Ga0401699_0002598_5192_12976,39,29,3,0
Ga0401699_0002654_443_13030,65,49,2,0
Ga0401699_0002782_3_12848,119,67,8,5
Ga0401699_0002797_169_12705,44,53,7,4
Ga0401699_0002811_242_12685,103,91,13,4
Ga0401699_0002829_11643_12260,68,78,0,0
Ga0401699_0002829_1277_1939,14,8,0,0
Ga0401699_0002829_1940_2560,14,10,0,0
Ga0401699_0002829_3_1148,71,65,1,1
Ga0401699_0002829_5406_6878,131,139,4,0
Ga0401699_0002829_9453_11579,237,183,2,5
Ga0401699_0002875_189_9872,1177,664,235,192
Ga0401699_0002939_181_12378,144,116,25,28
Ga0401699_0002981_148_12339,61,49,7,8
Ga0401699_0003035_361_12390,56,47,11,7
Ga0401699_0003067_1515_3452,119,88,167,170
Ga0401699_0003079_132_12362,121,56,1,0
Ga0401699_0003192_13_12273,15,19,5,1
Ga0401699_0003268_2_12169,200,88,30,7
Ga0401699_0003342_3_9245,96,53,12,7
