Gene,2.5nM_DFB_A,2.5nM_DFB_B,2.5nM_Fe_A,2.5nM_Fe_B
Ga0401699_0000979_2_17629,87.43829059,88.44469334,3.576514884,8.599179776
Ga0401699_0001063_2_16960,123.9416546,99.23063155,17.88257442,14.61860562
Ga0401699_0001072_2_12127,237.6963239,122.9596956,1.430605954,0
Ga0401699_0001095_3_16931,216.4734379,105.7021945,0,0.859917978
Ga0401699_0001104_16105_16833,6.791323541,22.65047025,49.35590541,75.67278203
Ga0401699_0001105_332_16870,98.47419134,70.10859838,13.59075656,5.159507865
Ga0401699_0001140_1387_1872,22.92071695,29.12203317,96.56590188,139.3067124
Ga0401699_0001140_15463_16515,58.57516554,135.9028215,217.452105,254.5357214
Ga0401699_0001140_5406_6053,378.6162874,685.9856703,939.9081116,1035.341245
Ga0401699_0001140_6109_6591,189.3081437,319.2637711,484.9754183,502.1920989
Ga0401699_0001140_768_1283,42.44577213,56.0868787,211.7296812,220.9989202
Ga0401699_0001140_9066_9785,47.53926479,129.4312585,508.5804166,430.8189068
Ga0401699_0001140_9968_10906,24.61854784,64.71562927,231.7581645,182.3026112
Ga0401699_0001176_12126_12743,57.7262501,42.06515903,5.007120838,6.879343821
Ga0401699_0001176_12809_14890,169.7830885,201.6970446,16.45196847,11.17893371
Ga0401699_0001176_14905_15918,63.6686582,79.81594277,7.153029769,8.599179776
Ga0401699_0001176_2295_2690,16.12939341,10.78593821,0.715302977,0.859917978
Ga0401699_0001176_465_1139,16.97830885,24.80765789,0.715302977,2.579753933
Ga0401699_0001176_6012_6551,39.05011036,45.30094049,4.291817861,0
Ga0401699_0001176_9956_11971,164.6895959,203.8542322,17.88257442,9.459097753
Ga0401699_0001187_274_16422,51.783842,57.16547253,3.576514884,3.43967191
Ga0401699_0001189_14036_14590,14.43156252,19.41468878,82.25984234,73.09302809
Ga0401699_0001253_13551_14375,19.52505518,4.314375285,59.37014708,69.65335618
Ga0401699_0001253_15389_16027,16.97830885,6.471562927,53.64772327,90.29138765
Ga0401699_0001253_5942_7198,24.61854784,9.707344391,56.50893517,82.55212585
Ga0401699_0001253_609_1838,64.51757364,37.75078374,151.6442311,214.1195764
Ga0401699_0001267_4860_6725,1444.005168,1225.282581,8874.764034,6665.224244
Ga0401699_0001323_782_1192,0,0,51.50181434,40.41614495
Ga0401699_0001374_9818_10243,535.6656443,677.3569197,738.9079751,276.0336708
Ga0401699_0001472_257_15277,136.6753863,151.003135,26.46621015,18.05827753
Ga0401699_0001473_1_5406,118.848162,43.14375285,0,0
Ga0401699_0001511_13117_13863,89.13612148,155.3175103,417.0216355,351.7064528
Ga0401699_0001524_6173_6754,125.6394855,127.2740709,953.4988682,1071.4578
Ga0401699_0001525_5007_7499,73.00672807,57.16547253,20.74378633,20.63803146
Ga0401699_0001548_35_15088,50.93492656,35.5935961,15.02136251,17.19835955
Ga0401699_0001630_236_14773,73.00672807,69.03000456,1.430605954,6.019425843
Ga0401699_0001635_9211_13815,5.942408098,7.550156749,61.51605601,68.79343821
Ga0401699_0001637_97_14304,138.3732171,156.3961041,17.16727145,23.21778539
Ga0401699_0001655_2995_14784,78.94913616,100.3092254,7.868332746,12.03885169
Ga0401699_0001688_5102_14626,105.2655149,53.92969106,0,0
Ga0401699_0001762_175_13950,46.69034934,26.96484553,2.861211908,4.299589888
Ga0401699_0001774_116_14326,24.61854784,48.53672196,5.722423815,0.859917978
Ga0401699_0001836_1_14232,211.3799452,133.7456338,5.007120838,9.459097753
Ga0401699_0001850_81_12554,145.1645407,107.8593821,35.04984587,25.79753933
Ga0401699_0001856_2_14326,123.9416546,160.7104794,18.5978774,32.67688315
Ga0401699_0001879_86_14242,107.8122612,88.44469334,0,4.299589888
Ga0401699_0001919_2_14188,234.3006622,143.4529782,18.5978774,8.599179776
Ga0401699_0001932_224_13912,53.48167289,52.85109724,15.73666549,0.859917978
Ga0401699_0001958_1_14130,1029.734432,970.7344391,104.4342346,78.25253596
Ga0401699_0001985_160_14010,101.0209377,60.40125399,5.007120838,9.459097753
Ga0401699_0001993_402_13979,49.23709567,56.0868787,2.861211908,4.299589888
Ga0401699_0002012_265_13998,141.7688789,128.3526647,12.16015061,6.019425843
Ga0401699_0002023_200_13975,114.6035848,103.5450068,11.44484763,5.159507865
Ga0401699_0002028_182_13939,177.4233275,186.5967311,35.04984587,24.93762135
Ga0401699_0002045_2251_2370,110.3590075,262.0982986,27.18151312,26.65745731
Ga0401699_0002045_2431_2532,185.0635665,284.7487688,45.06408754,26.65745731
Ga0401699_0002045_4724_5149,213.9266915,405.5512768,52.21711731,38.69630899
Ga0401699_0002045_8932_9495,36.50336403,56.0868787,9.2989387,15.4785236
Ga0401699_0002056_56_12655,66.21540452,38.82937756,0,0
Ga0401699_0002057_212_13855,123.0927392,104.6236007,24.32030121,24.93762135
Ga0401699_0002077_91_13761,168.0852576,149.9245412,25.75090717,24.93762135
Ga0401699_0002102_29_13873,239.3941548,101.3878192,0,1.719835955
Ga0401699_0002103_89_13921,99.32310679,51.77250342,0,0
Ga0401699_0002104_179_13921,89.98503692,99.23063155,17.16727145,12.03885169
Ga0401699_0002111_36_13646,54.33058833,80.89453659,150.2136251,212.3997405
Ga0401699_0002148_85_13608,62.81974275,76.58016131,4.291817861,0.859917978
Ga0401699_0002203_3_13733,31.40987138,17.25750114,0,0
Ga0401699_0002213_219_13742,73.00672807,45.30094049,3.576514884,3.43967191
Ga0401699_0002224_267_13352,44.99251846,50.6939096,2.145908931,2.579753933
Ga0401699_0002258_148_13479,25.46746328,33.43640846,2.145908931,5.159507865
Ga0401699_0002281_221_13630,83.19371338,39.90797139,0.715302977,6.019425843
Ga0401699_0002299_77_13489,112.9057539,83.05172424,6.437726792,9.459097753
Ga0401699_0002334_4566_6593,26.31637872,33.43640846,209.5837722,148.7658101
Ga0401699_0002371_44_13348,812.4120786,874.739589,109.4413555,174.5633494
Ga0401699_0002448_186_13346,90.83395236,49.61531578,2.861211908,3.43967191
Ga0401699_0002467_6612_7886,11.8848162,10.78593821,79.39863044,45.57565281
Ga0401699_0002564_50_12946,46.69034934,31.27922082,0.715302977,1.719835955
Ga0401699_0002572_180_13052,50.93492656,43.14375285,6.437726792,1.719835955
Ga0401699_0002577_2_12994,30.56095593,35.5935961,0.715302977,1.719835955
Ga0401699_0002598_276_5234,28.01420961,28.04343935,3.576514884,3.43967191
Ga0401699_0002598_5192_12976,33.10770226,31.27922082,2.145908931,0
Ga0401699_0002654_443_13030,55.17950377,52.85109724,1.430605954,0
Ga0401699_0002782_3_12848,101.0209377,72.26578602,5.722423815,4.299589888
Ga0401699_0002797_169_12705,37.35227948,57.16547253,5.007120838,3.43967191
Ga0401699_0002811_242_12685,87.43829059,98.15203773,9.2989387,3.43967191
Ga0401699_0002829_11643_12260,57.7262501,84.13031806,0,0
Ga0401699_0002829_1277_1939,11.8848162,8.62875057,0,0
Ga0401699_0002829_1940_2560,11.8848162,10.78593821,0,0
Ga0401699_0002829_3_1148,60.27299643,70.10859838,0.715302977,0.859917978
Ga0401699_0002829_5406_6878,111.207923,149.9245412,2.861211908,0
Ga0401699_0002829_9453_11579,201.1929599,197.3826693,1.430605954,4.299589888
Ga0401699_0002875_189_9872,999.173476,716.1862973,168.0961996,165.1042517
Ga0401699_0002939_181_12378,122.2438237,125.1168833,17.88257442,24.07770337
Ga0401699_0002981_148_12339,51.783842,52.85109724,5.007120838,6.879343821
Ga0401699_0003035_361_12390,47.53926479,50.6939096,7.868332746,6.019425843
Ga0401699_0003067_1515_3452,101.0209377,94.91625627,119.4555971,146.1860562
Ga0401699_0003079_132_12362,102.7187686,60.40125399,0.715302977,0
Ga0401699_0003192_13_12273,12.73373164,20.4932826,3.576514884,0.859917978
Ga0401699_0003268_2_12169,169.7830885,94.91625627,21.45908931,6.019425843
Ga0401699_0003342_3_9245,81.49588249,57.16547253,8.583635723,6.019425843
Ga0401699_0003388_11119_11478,23.76963239,25.88625171,1.430605954,2.579753933
Ga0401699_0003388_211_1380,151.9558642,236.2120469,7.153029769,0.859917978
Ga0401699_0003388_3297_4067,16.97830885,14.02171968,0,0
Ga0401699_0003388_4100_4678,21.22288607,37.75078374,0.715302977,0
Ga0401699_0003388_5300_6604,162.1428495,229.7404839,2.861211908,7.739261798
Ga0401699_0003388_6680_8260,605.2767106,728.0508293,18.5978774,15.4785236
Ga0401699_0003388_8744_9550,124.7905701,209.2472013,9.2989387,0.859917978
Ga0401699_0003388_9817_11028,66.21540452,127.2740709,3.576514884,0.859917978
Ga0401699_0003462_10552_10917,0,1.078593821,42.20287564,42.1359809
Ga0401699_0003462_3955_4326,2.546746328,2.157187642,40.77226968,51.59507865
Ga0401699_0003462_4439_5377,4.244577213,4.314375285,87.26696318,67.93352023
Ga0401699_0003462_6270_7538,5.093492656,10.78593821,120.8862031,122.1083528
Ga0401699_0003462_652_975,15.28047797,30.20062699,146.6371103,201.2208068
Ga0401699_0003462_8608_9144,7.640238984,8.62875057,51.50181434,56.75458652
Ga0401699_0003462_9161_9604,1.697830885,6.471562927,70.81499471,49.8752427
Ga0401699_0003462_9589_10305,4.244577213,4.314375285,77.2527215,85.13187978
Ga0401699_0003462_988_2217,11.8848162,6.471562927,123.032112,156.5050719
Ga0401699_0003587_57_11549,66.21540452,62.55844163,0,0
Ga0401699_0003760_3_11273,50.93492656,24.80765789,0,0
Ga0401699_0003799_10405_10965,14.43156252,48.53672196,1.430605954,1.719835955
Ga0401699_0003799_106_1476,541.6080524,760.408644,21.45908931,33.53680113
Ga0401699_0003799_1790_3478,293.7247431,435.7519038,42.20287564,23.21778539
Ga0401699_0003799_5316_5543,166.3874268,232.9762654,20.02848335,31.81696517
Ga0401699_0003799_5823_6434,104.4165994,135.9028215,10.72954465,12.03885169
Ga0401699_0003799_6446_8476,455.8675927,619.1128534,51.50181434,67.93352023
Ga0401699_0003799_8498_9487,146.0134561,252.3909542,30.04272503,25.79753933
Ga0401699_0003944_1_11172,36.50336403,44.22234667,2.145908931,7.739261798
Ga0401699_0003948_190_10176,266.559449,281.5129873,22.88969526,18.05827753
Ga0401699_0003969_2_11179,61.12191187,80.89453659,7.153029769,7.739261798
Ga0401699_0003988_3_10973,72.15781262,39.90797139,10.72954465,2.579753933
Ga0401699_0004080_4150_11043,28.86312505,37.75078374,1.430605954,0
Ga0401699_0004127_3_2051,100.1720222,131.5884462,2.861211908,6.879343821
Ga0401699_0004127_3282_4793,16.97830885,33.43640846,0,4.299589888
Ga0401699_0004127_4817_6253,38.20119492,79.81594277,0,0
Ga0401699_0004127_7513_8520,26.31637872,65.7942231,0,0
Ga0401699_0004127_8522_10612,119.6970774,208.1686075,1.430605954,0.859917978
Ga0401699_0004156_3_10778,49.23709567,61.47984781,6.437726792,3.43967191
Ga0401699_0004159_9879_10442,8.489154426,3.235781464,0,0
Ga0401699_0004176_3720_5027,1416.839874,2074.135918,440.6266338,519.3904585
Ga0401699_0004216_42_10949,81.49588249,73.34437984,6.437726792,8.599179776
Ga0401699_0004326_29_10813,98.47419134,70.10859838,0.715302977,2.579753933
Ga0401699_0004552_67_9780,52.63275744,58.24406635,6.437726792,0.859917978
Ga0401699_0004585_1_10473,31.40987138,28.04343935,0.715302977,2.579753933
Ga0401699_0004646_4083_10451,40.74794125,19.41468878,2.145908931,0.859917978
Ga0401699_0004709_137_10390,83.19371338,76.58016131,2.145908931,6.879343821
Ga0401699_0004713_2_10069,121.3949083,98.15203773,12.87545358,11.17893371
Ga0401699_0004714_637_2727,13.58264708,25.88625171,4.291817861,1.719835955
Ga0401699_0004747_2501_2686,35.65444859,31.27922082,69.38438876,86.85171574
Ga0401699_0004747_3144_4427,8.489154426,29.12203317,178.8257442,186.6022011
Ga0401699_0004747_5060_5743,13.58264708,20.4932826,208.1531663,227.8782641
Ga0401699_0004747_5803_9417,3.39566177,6.471562927,50.07120838,58.47442248
Ga0401699_0004811_58_10164,79.79805161,73.34437984,13.59075656,16.33844157
Ga0401699_0004822_1_10005,28.01420961,25.88625171,1.430605954,2.579753933
Ga0401699_0004827_35_9784,32.25878682,26.96484553,0.715302977,0
Ga0401699_0004854_6553_8091,976.252759,977.206002,69.38438876,79.97237192
Ga0401699_0004854_8121_8930,365.0336403,352.7001795,27.18151312,26.65745731
Ga0401699_0004854_8946_9704,142.6177944,177.9679805,16.45196847,22.35786742
Ga0401699_0004868_168_10058,67.06431997,48.53672196,2.145908931,1.719835955
Ga0401699_0005139_1696_2070,23.76963239,22.65047025,393.4166373,406.7412034
Ga0401699_0005139_2095_2925,67.91323541,98.15203773,815.4453937,878.8361731
Ga0401699_0005139_2935_3213,5.942408098,14.02171968,275.3916461,300.1113742
Ga0401699_0005139_3241_3591,24.61854784,32.35781464,465.662238,475.5346416
Ga0401699_0005139_3612_4256,27.16529416,36.67218992,793.2710014,868.5171574
Ga0401699_0005139_4340_4702,11.8848162,9.707344391,366.2351242,399.8618596
Ga0401699_0005139_4713_4949,5.093492656,22.65047025,266.0927074,303.5510461
Ga0401699_0005139_4958_5323,26.31637872,26.96484553,452.7867844,439.4180865
Ga0401699_0005139_5341_5640,11.8848162,17.25750114,383.4023956,418.7800551
Ga0401699_0005139_5645_6193,22.92071695,36.67218992,628.7513167,674.1756944
Ga0401699_0005235_2_9946,43.29468757,34.51500228,1.430605954,0
Ga0401699_0005255_1306_1494,209.6821143,327.8925217,621.5982869,742.9691326
Ga0401699_0005255_6938_8038,113.7546693,83.05172424,162.3737758,233.8976899
Ga0401699_0005255_8118_8501,35.65444859,35.5935961,51.50181434,70.51327416
Ga0401699_0005278_5196_9659,12.73373164,14.02171968,1.430605954,0
Ga0401699_0005451_3_9713,87.43829059,42.06515903,6.437726792,7.739261798
Ga0401699_0005466_241_9810,133.2797245,69.03000456,1.430605954,0
Ga0401699_0005680_228_9668,93.38069869,67.95141074,3.576514884,4.299589888
Ga0401699_0005692_8_9616,43.29468757,25.88625171,0.715302977,0
Ga0401699_0005752_3_8918,80.64696705,35.5935961,2.861211908,2.579753933
Ga0401699_0005785_1_9567,41.59685669,28.04343935,0.715302977,0
Ga0401699_0005815_32_9460,88.28720603,39.90797139,0,1.719835955
Ga0401699_0005953_2_9478,32.25878682,32.35781464,0,0
Ga0401699_0006040_1025_1495,22.07180151,31.27922082,2.145908931,3.43967191
Ga0401699_0006040_1511_1885,39.05011036,56.0868787,8.583635723,4.299589888
Ga0401699_0006040_1980_3563,559.4352767,972.8916268,85.83635723,93.73105956
Ga0401699_0006040_3934_5061,300.5160667,582.4406635,48.64060243,47.29548877
Ga0401699_0006040_508_1050,41.59685669,78.73734895,5.007120838,9.459097753
Ga0401699_0006040_8118_8345,56.02841921,173.6536052,15.73666549,6.879343821
Ga0401699_0006057_1933_2403,40.74794125,60.40125399,625.8901048,639.7789753
Ga0401699_0006057_2442_2816,43.29468757,42.06515903,452.7867844,487.5734933
Ga0401699_0006057_2834_3046,14.43156252,26.96484553,197.4236216,189.1819551
Ga0401699_0006057_3078_3497,24.61854784,39.90797139,454.2173903,441.1379225
Ga0401699_0006057_312_635,22.07180151,39.90797139,364.8045182,327.6287495
Ga0401699_0006057_3502_3924,28.01420961,74.42297367,540.0537476,595.0632405
Ga0401699_0006057_3937_4854,110.3590075,153.1603226,1452.780346,1450.681628
Ga0401699_0006057_4872_5261,42.44577213,63.63703545,568.6658666,495.3127551
Ga0401699_0006057_5292_5642,61.97082731,98.15203773,923.4561432,820.3617506
Ga0401699_0006057_5852_7084,44.14360302,88.44469334,1099.420675,1163.469024
Ga0401699_0006057_652_1881,168.9341731,194.1468878,1685.969117,1694.038416
Ga0401699_0006057_7629_8168,25.46746328,28.04343935,484.2601154,515.0908686
Ga0401699_0006062_8069_8539,53.48167289,55.00828488,246.0642241,210.6799045
Ga0401699_0006070_2215_2604,16.97830885,12.94312585,0,0
Ga0401699_0006070_2607_2978,7.640238984,20.4932826,0,0
Ga0401699_0006070_4067_4822,23.76963239,17.25750114,0,0
Ga0401699_0006070_5101_5907,22.92071695,19.41468878,0,0
Ga0401699_0006070_5918_6328,5.942408098,8.62875057,0,0
Ga0401699_0006070_72_2081,162.1428495,127.2740709,2.145908931,0.859917978
Ga0401699_0006214_246_9314,11.03590075,23.72906407,0,1.719835955
Ga0401699_0006227_2425_2724,22.07180151,111.0951636,351.9290646,619.1409439
Ga0401699_0006235_133_9297,22.92071695,6.471562927,0,3.43967191
Ga0401699_0006270_1264_2493,12.73373164,17.25750114,90.84347807,97.17073147
Ga0401699_0006280_1718_3862,187.6103128,163.9462608,2.145908931,1.719835955
Ga0401699_0006280_372_680,13.58264708,16.17890732,0,0
Ga0401699_0006280_3911_4528,37.35227948,28.04343935,0,0
Ga0401699_0006280_4689_6341,140.9199635,146.6887597,3.576514884,0
Ga0401699_0006280_691_1704,67.06431997,63.63703545,0,0
Ga0401699_0006280_7818_8342,31.40987138,12.94312585,0,0
Ga0401699_0006354_96_9212,17.8272243,8.62875057,51.50181434,105.7699112
Ga0401699_0006387_116_9190,19.52505518,26.96484553,3.576514884,1.719835955
Ga0401699_0006410_3911_4834,6.791323541,19.41468878,7.153029769,1.719835955
Ga0401699_0006410_6346_6492,18.67613974,35.5935961,7.153029769,0
Ga0401699_0006410_7120_7215,3.39566177,12.94312585,0.715302977,1.719835955
Ga0401699_0006528_38_8803,80.64696705,67.95141074,20.02848335,27.51737528
Ga0401699_0006533_29_9106,33.9566177,37.75078374,0,0
Ga0401699_0006780_109_8856,22.92071695,24.80765789,0,0.859917978
Ga0401699_0006847_200_8752,28.01420961,16.17890732,3.576514884,2.579753933
Ga0401699_0006863_6203_8782,47.53926479,42.06515903,0,0
Ga0401699_0006891_1_8835,22.92071695,23.72906407,0,0
Ga0401699_0007049_204_8822,96.77636046,50.6939096,5.722423815,4.299589888
Ga0401699_0007093_5420_6685,24.61854784,29.12203317,157.3666549,91.15130562
Ga0401699_0007198_85_8628,32.25878682,22.65047025,0.715302977,5.159507865
Ga0401699_0007243_664_8586,18.67613974,28.04343935,0,4.299589888
Ga0401699_0007258_6663_8711,123.9416546,200.6184508,702.4275233,601.0826663
Ga0401699_0007311_3_8687,23.76963239,22.65047025,0,1.719835955
Ga0401699_0007442_2_8617,69.6110663,43.14375285,0.715302977,2.579753933
Ga0401699_0007472_344_8602,41.59685669,12.94312585,0,0
Ga0401699_0007505_457_8592,123.9416546,87.36609952,2.861211908,1.719835955
Ga0401699_0007606_65_8290,53.48167289,46.37953431,5.007120838,0.859917978
Ga0401699_0007610_36_8252,164.6895959,88.44469334,0,0
Ga0401699_0007660_1_8346,285.2355887,304.1634576,29.32742205,54.17483259
Ga0401699_0007675_113_8269,33.10770226,15.1003135,5.722423815,0.859917978
Ga0401699_0007716_1_8481,241.9409011,138.0600091,11.44484763,19.77811348
Ga0401699_0007818_70_8439,30.56095593,42.06515903,4.291817861,4.299589888
Ga0401699_0007860_158_8278,265.7105335,226.5047025,22.17439228,28.37729326
Ga0401699_0007891_2_8383,39.05011036,26.96484553,0,0.859917978
Ga0401699_0007893_1_8403,19.52505518,24.80765789,63.66196494,59.33434045
Ga0401699_0007907_4762_8298,103.567684,76.58016131,23.60499824,22.35786742
Ga0401699_0007966_3_6851,67.06431997,60.40125399,3.576514884,9.459097753
Ga0401699_0007998_90_8318,84.89154426,51.77250342,10.72954465,5.159507865
Ga0401699_0008082_68_8257,26.31637872,26.96484553,5.722423815,0
Ga0401699_0008087_1_8265,56.02841921,42.06515903,2.145908931,7.739261798
Ga0401699_0008216_7_4488,10.18698531,8.62875057,0,2.579753933
Ga0401699_0008321_5058_7460,578.9603319,1089.379759,2118.727418,1768.85128
Ga0401699_0008394_30_7892,44.99251846,39.90797139,0.715302977,0
Ga0401699_0008550_493_7788,48.38818023,22.65047025,0,0.859917978
Ga0401699_0008563_1_6255,56.87733466,14.02171968,0,0
Ga0401699_0008581_1_7785,45.8414339,77.65875513,5.007120838,3.43967191
Ga0401699_0008606_209_8080,14.43156252,10.78593821,2.861211908,1.719835955
Ga0401699_0008613_81_8075,62.81974275,69.03000456,7.153029769,1.719835955
Ga0401699_0008634_1_7713,62.81974275,34.51500228,4.291817861,6.019425843
Ga0401699_0008669_69_7886,117.9992465,52.85109724,2.145908931,5.159507865
Ga0401699_0008794_2_7993,45.8414339,20.4932826,3.576514884,1.719835955
Ga0401699_0008797_158_8005,35.65444859,21.57187642,0,0.859917978
Ga0401699_0008812_1697_2236,27.16529416,17.25750114,0,0
Ga0401699_0008812_2410_2988,55.17950377,44.22234667,2.145908931,1.719835955
Ga0401699_0008812_3044_4192,89.13612148,103.5450068,0,0.859917978
Ga0401699_0008948_45_4727,89.13612148,90.60188098,3.576514884,2.579753933
Ga0401699_0009008_831_7262,51.783842,65.7942231,10.72954465,9.459097753
Ga0401699_0009079_395_7330,41.59685669,29.12203317,0.715302977,0
